Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
12 Applegate Solar Farm,-55063,Solar,1.9,2430,14.6,NA,0,0,50227.11,50227.11,Solar,0
145 Talmadge Solar,-27736,Solar,3.8,4803,14.43,NA,0,0,100454.23,100454.23,Solar,0
1515 South Caron Road,-1347,Gas Turbine,3.5,272,0.89,3000,21225.23,2406.98,47831.5,71463.71,Gas,86.883125
180 Raritan Solar,-65525,Solar,1.9,2526,15.18,NA,0,0,50227.11,50227.11,Solar,0
200th Red Horse Squadron- Camp Perry,-19724,Solar,0.19,NA,NA,NA,NA,NA,5022.71,NA,Solar,#VALUE!
24 Applegate Solar Plant,-72492,Solar,4.9,1742,4.06,NA,0,0,129533.08,129533.08,Solar,0
24 Applegate Solar Plant,-72491,Solar,4.9,1742,4.06,NA,0,0,129533.08,129533.08,Solar,0
24 Applegate Solar Plant,-72490,Solar,4.9,1742,4.06,NA,0,0,129533.08,129533.08,Solar,0
24 Applegate Solar Plant,-72489,Solar,4.9,1742,4.06,NA,0,0,129533.08,129533.08,Solar,0
4 Applegate Solar Plant,-55062,Solar,1.4,2158,17.6,NA,0,0,37009.45,37009.45,Solar,0
500 Virginia Solar,-27853,Solar,1,1102,12.58,NA,0,0,26435.32,26435.32,Solar,0
510 REPP One Solar Project,-22983,Solar,1.3,1929,16.94,NA,0,0,34365.92,34365.92,Solar,0
8501 Westside Avenue Solar Project,-48929,Solar,1.05,NA,NA,NA,NA,NA,27757.09,NA,Solar,#VALUE!
ACUA Landfill Power Plant,-100201,Internal Combustion,5.1,10047,22.49,10554.1,172751.49,417720.94,60774.54,651246.97,Biomass,58.77101921
Adam Wind (GSG 3),-47563,Wind Turbine,5,15011,34.27,NA,109896.06,0,222836.72,332732.78,Wind,7.321035241
Adkins Energy Cogen Power Plant,-65307,Gas Turbine,5,26277,59.99,11373.33,36879.66,881546.53,54844.29,973270.48,Gas,34.95171405
AE Hunlock 4,-50148,Gas Turbine,45,1779,0.45,16039.91,66812.84,83091.26,182934.62,332838.72,Gas,84.26312535
AEP Bluffton NaS Battery Storage Project,-107921,Other,2,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
AEP Charleston NaS Battery Storage,-106358,Other,1.2,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
AEP Churubusco NaS Battery Storage System,-106360,Other,2,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
AES ES Tait Battery Storage,-98441,Other,20,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
AgriWind,-21884,Wind Turbine,8.4,6233,8.47,NA,45632.01,0,374365.69,419997.7,Wind,7.321034815
AgriWind,-14605,Wind Turbine,8.4,6233,8.47,NA,45632.01,0,374365.69,419997.7,Wind,7.321034815
Air Products Solar (Trexlertown Solar),-22234,Solar,1.9,2119,12.73,NA,0,0,50227.11,50227.11,Solar,0
Akron WRF (ADS PHASE II),-74430,Internal Combustion,1.8,7895,50.07,11606.84,112805.91,287545.44,23093.18,423444.53,Biomass,50.70948068
