Hour,Datetime,Hydro,Solar,Wind
1,1/1/2020,0.191,0.000,0.861
2,1/1/2020 1:00,0.182,0.000,0.867
3,1/1/2020 2:00,0.174,0.000,0.824
4,1/1/2020 3:00,0.177,0.000,0.755
5,1/1/2020 4:00,0.186,0.000,0.735
6,1/1/2020 5:00,0.307,0.000,0.699
7,1/1/2020 6:00,0.409,0.000,0.666
8,1/1/2020 7:00,0.447,0.152,0.620
9,1/1/2020 8:00,0.411,0.450,0.609
10,1/1/2020 9:00,0.410,0.538,0.623
11,1/1/2020 10:00,0.388,0.656,0.605
12,1/1/2020 11:00,0.355,0.723,0.568
13,1/1/2020 12:00,0.327,0.743,0.609
14,1/1/2020 13:00,0.237,0.688,0.658
15,1/1/2020 14:00,0.209,0.562,0.710
16,1/1/2020 15:00,0.246,0.298,0.735
17,1/1/2020 16:00,0.554,0.000,0.705
18,1/1/2020 17:00,0.577,0.000,0.786
19,1/1/2020 18:00,0.580,0.000,0.719
20,1/1/2020 19:00,0.522,0.000,0.660
21,1/1/2020 20:00,0.451,0.000,0.656
22,1/1/2020 21:00,0.454,0.000,0.673
23,1/1/2020 22:00,0.212,0.000,0.781
24,1/1/2020 23:00,0.152,0.000,0.847
25,1/2/2020,0.184,0.000,0.860
26,1/2/2020 1:00,0.176,0.000,0.877
27,1/2/2020 2:00,0.176,0.000,0.902
28,1/2/2020 3:00,0.177,0.000,0.865
29,1/2/2020 4:00,0.182,0.000,0.832
30,1/2/2020 5:00,0.355,0.000,0.818
31,1/2/2020 6:00,0.395,0.000,0.811
32,1/2/2020 7:00,0.295,0.157,0.832
33,1/2/2020 8:00,0.310,0.466,0.833
34,1/2/2020 9:00,0.299,0.642,0.775
35,1/2/2020 10:00,0.280,0.736,0.759
36,1/2/2020 11:00,0.283,0.771,0.733
37,1/2/2020 12:00,0.267,0.761,0.719
38,1/2/2020 13:00,0.235,0.699,0.705
39,1/2/2020 14:00,0.191,0.564,0.641
40,1/2/2020 15:00,0.324,0.311,0.556
41,1/2/2020 16:00,0.566,0.000,0.485
42,1/2/2020 17:00,0.598,0.000,0.548
43,1/2/2020 18:00,0.607,0.000,0.599
44,1/2/2020 19:00,0.530,0.000,0.642
45,1/2/2020 20:00,0.455,0.000,0.630
46,1/2/2020 21:00,0.449,0.000,0.594
47,1/2/2020 22:00,0.236,0.000,0.615
48,1/2/2020 23:00,0.165,0.000,0.646
49,1/3/2020,0.174,0.000,0.678
50,1/3/2020 1:00,0.178,0.000,0.692
51,1/3/2020 2:00,0.183,0.000,0.722
52,1/3/2020 3:00,0.185,0.000,0.750
53,1/3/2020 4:00,0.199,0.000,0.789
54,1/3/2020 5:00,0.314,0.000,0.830
55,1/3/2020 6:00,0.328,0.000,0.812
56,1/3/2020 7:00,0.323,0.150,0.784
57,1/3/2020 8:00,0.396,0.446,0.767
58,1/3/2020 9:00,0.342,0.614,0.781
59,1/3/2020 10:00,0.337,0.705,0.748
60,1/3/2020 11:00,0.314,0.737,0.709
61,1/3/2020 12:00,0.312,0.723,0.690
62,1/3/2020 13:00,0.311,0.668,0.694
63,1/3/2020 14:00,0.307,0.543,0.699
64,1/3/2020 15:00,0.309,0.312,0.690
65,1/3/2020 16:00,0.509,0.000,0.709
66,1/3/2020 17:00,0.549,0.000,0.658
67,1/3/2020 18:00,0.534,0.000,0.662
68,1/3/2020 19:00,0.513,0.000,0.697
69,1/3/2020 20:00,0.452,0.000,0.673
70,1/3/2020 21:00,0.453,0.000,0.671
71,1/3/2020 22:00,0.265,0.000,0.705
72,1/3/2020 23:00,0.209,0.000,0.733
73,1/4/2020,0.246,0.000,0.732
74,1/4/2020 1:00,0.250,0.000,0.709
75,1/4/2020 2:00,0.241,0.000,0.716
76,1/4/2020 3:00,0.244,0.000,0.729
77,1/4/2020 4:00,0.301,0.000,0.711
78,1/4/2020 5:00,0.293,0.000,0.740
79,1/4/2020 6:00,0.344,0.000,0.702
80,1/4/2020 7:00,0.382,0.147,0.657
81,1/4/2020 8:00,0.331,0.439,0.682
82,1/4/2020 9:00,0.270,0.600,0.739
83,1/4/2020 10:00,0.277,0.696,0.676
84,1/4/2020 11:00,0.327,0.729,0.587
85,1/4/2020 12:00,0.328,0.722,0.579
86,1/4/2020 13:00,0.298,0.677,0.531
87,1/4/2020 14:00,0.302,0.548,0.549
88,1/4/2020 15:00,0.338,0.307,0.569
89,1/4/2020 16:00,0.527,0.000,0.595
90,1/4/2020 17:00,0.547,0.000,0.617
91,1/4/2020 18:00,0.526,0.000,0.614
92,1/4/2020 19:00,0.489,0.000,0.649
93,1/4/2020 20:00,0.500,0.000,0.759
94,1/4/2020 21:00,0.469,0.000,0.862
95,1/4/2020 22:00,0.430,0.000,0.839
96,1/4/2020 23:00,0.374,0.000,0.832
97,1/5/2020,0.335,0.000,0.762
98,1/5/2020 1:00,0.289,0.000,0.821
99,1/5/2020 2:00,0.177,0.000,0.831
100,1/5/2020 3:00,0.225,0.000,0.813
101,1/5/2020 4:00,0.295,0.000,0.766
102,1/5/2020 5:00,0.297,0.000,0.799
103,1/5/2020 6:00,0.367,0.000,0.837
104,1/5/2020 7:00,0.338,0.153,0.860
105,1/5/2020 8:00,0.249,0.459,0.869
106,1/5/2020 9:00,0.272,0.637,0.862
107,1/5/2020 10:00,0.319,0.750,0.906
108,1/5/2020 11:00,0.222,0.792,0.902
109,1/5/2020 12:00,0.217,0.780,0.885
110,1/5/2020 13:00,0.219,0.717,0.883
111,1/5/2020 14:00,0.217,0.575,0.777
112,1/5/2020 15:00,0.345,0.314,0.699
113,1/5/2020 16:00,0.483,0.000,0.591
114,1/5/2020 17:00,0.505,0.000,0.556
115,1/5/2020 18:00,0.527,0.000,0.548
116,1/5/2020 19:00,0.465,0.000,0.555
117,1/5/2020 20:00,0.444,0.000,0.543
118,1/5/2020 21:00,0.363,0.000,0.473
119,1/5/2020 22:00,0.225,0.000,0.426
120,1/5/2020 23:00,0.190,0.000,0.354
121,1/6/2020,0.192,0.000,0.341
122,1/6/2020 1:00,0.205,0.000,0.314
123,1/6/2020 2:00,0.207,0.000,0.306
124,1/6/2020 3:00,0.207,0.000,0.273
125,1/6/2020 4:00,0.252,0.000,0.237
126,1/6/2020 5:00,0.398,0.000,0.305
127,1/6/2020 6:00,0.409,0.000,0.315
128,1/6/2020 7:00,0.378,0.070,0.346
129,1/6/2020 8:00,0.351,0.276,0.346
130,1/6/2020 9:00,0.286,0.427,0.345
131,1/6/2020 10:00,0.272,0.557,0.361
132,1/6/2020 11:00,0.250,0.755,0.332
133,1/6/2020 12:00,0.212,0.769,0.323
134,1/6/2020 13:00,0.208,0.706,0.331
135,1/6/2020 14:00,0.209,0.586,0.348
136,1/6/2020 15:00,0.282,0.330,0.352
137,1/6/2020 16:00,0.544,0.000,0.356
138,1/6/2020 17:00,0.606,0.000,0.401
139,1/6/2020 18:00,0.625,0.000,0.445
140,1/6/2020 19:00,0.498,0.000,0.493
141,1/6/2020 20:00,0.487,0.000,0.538
142,1/6/2020 21:00,0.369,0.000,0.570
143,1/6/2020 22:00,0.219,0.000,0.563
144,1/6/2020 23:00,0.207,0.000,0.557
145,1/7/2020,0.209,0.000,0.557
146,1/7/2020 1:00,0.208,0.000,0.559
147,1/7/2020 2:00,0.207,0.000,0.552
148,1/7/2020 3:00,0.253,0.000,0.551
149,1/7/2020 4:00,0.263,0.000,0.550
150,1/7/2020 5:00,0.371,0.000,0.543
151,1/7/2020 6:00,0.409,0.000,0.539
152,1/7/2020 7:00,0.425,0.160,0.541
153,1/7/2020 8:00,0.376,0.459,0.521
154,1/7/2020 9:00,0.330,0.630,0.476
155,1/7/2020 10:00,0.295,0.730,0.424
156,1/7/2020 11:00,0.282,0.769,0.399
157,1/7/2020 12:00,0.261,0.756,0.369
158,1/7/2020 13:00,0.248,0.698,0.205
159,1/7/2020 14:00,0.210,0.572,0.113
160,1/7/2020 15:00,0.298,0.340,0.151
161,1/7/2020 16:00,0.536,0.000,0.196
162,1/7/2020 17:00,0.557,0.000,0.319
163,1/7/2020 18:00,0.565,0.000,0.332
164,1/7/2020 19:00,0.506,0.000,0.259
165,1/7/2020 20:00,0.509,0.000,0.248
166,1/7/2020 21:00,0.446,0.000,0.327
167,1/7/2020 22:00,0.244,0.000,0.497
168,1/7/2020 23:00,0.204,0.000,0.535
169,1/8/2020,0.204,0.000,0.551
170,1/8/2020 1:00,0.213,0.000,0.574
171,1/8/2020 2:00,0.212,0.000,0.585
172,1/8/2020 3:00,0.215,0.000,0.478
173,1/8/2020 4:00,0.393,0.000,0.385
174,1/8/2020 5:00,0.426,0.000,0.366
175,1/8/2020 6:00,0.417,0.000,0.379
176,1/8/2020 7:00,0.407,0.152,0.380
177,1/8/2020 8:00,0.360,0.452,0.366
178,1/8/2020 9:00,0.334,0.623,0.329
179,1/8/2020 10:00,0.328,0.714,0.286
180,1/8/2020 11:00,0.321,0.753,0.326
181,1/8/2020 12:00,0.301,0.741,0.357
182,1/8/2020 13:00,0.303,0.659,0.338
183,1/8/2020 14:00,0.287,0.537,0.418
184,1/8/2020 15:00,0.280,0.327,0.528
185,1/8/2020 16:00,0.445,0.000,0.587
186,1/8/2020 17:00,0.469,0.000,0.718
187,1/8/2020 18:00,0.492,0.000,0.780
